,REGIONAL,DEPARTAMENTO,CIUDAD,NOMBRE_OFICINA
505,BOGOTA,BOGOTA,BOGOTA,AUTOPISTA NORTE
506,CUNDINAMARCA,CUNDINAMARCA,GUADUAS,GUADUAS
507,CUNDINAMARCA,CUNDINAMARCA,LA MESA,LA MESA
508,CUNDINAMARCA,CUNDINAMARCA,SAN ANTONIO DEL TEQUENDAMA,SAN ANTONIO DEL TEQUENDAMA
509,BOGOTA,BOGOTA,BOGOTA,BOSA VIVE
510,CUNDINAMARCA,CUNDINAMARCA,TENJO,TENJO
511,CUNDINAMARCA,CUNDINAMARCA,VILLA DE SAN DIEGO DE UBATE,UBATE
512,CUNDINAMARCA,CUNDINAMARCA,ANAPOIMA,ANAPOIMA
513,CUNDINAMARCA,CUNDINAMARCA,CAQUEZA,CAQUEZA
514,BOGOTA,BOGOTA,BOGOTA,PARALELO 108
515,BOGOTA,BOGOTA,BOGOTA,LA CABRERA
516,BOGOTA,BOGOTA,BOGOTA,C.C.I
517,BOGOTA,BOGOTA,BOGOTA,LA ESMERALDA
518,BOGOTA,BOGOTA,BOGOTA,GOBERNACION
519,BOGOTA,BOGOTA,BOGOTA,BOGOTA
520,BOGOTA,BOGOTA,BOGOTA,UNICENTRO 3
521,BOGOTA,BOGOTA,BOGOTA,LA FLORESTA
522,BOGOTA,BOGOTA,BOGOTA,SECTOR INDUSTRIAL PALOQUEMAO
523,BOGOTA,BOGOTA,BOGOTA,AVENIDA ROJAS
524,BOGOTA,BOGOTA,BOGOTA,LA VALVANERA 
525,BOGOTA,BOGOTA,BOGOTA,BARRIO PALERMO
526,BOGOTA,BOGOTA,BOGOTA,FONTIBON PARQUE PRINCIPAL
527,BOGOTA,BOGOTA,BOGOTA,CALLE 141
528,BOGOTA,BOGOTA,BOGOTA,CALLE 100
529,BOGOTA,BOGOTA,BOGOTA,PUERTA GRANDE
530,BOGOTA,BOGOTA,BOGOTA,HACIENDA
531,BOGOTA,BOGOTA,BOGOTA,PLAZA DE LAS AMERICAS 3
532,BOGOTA,BOGOTA,BOGOTA,GORGONZOLA
533,CUNDINAMARCA,CUNDINAMARCA,EL COLEGIO,EL COLEGIO
534,CUNDINAMARCA,CUNDINAMARCA,MOSQUERA,MOSQUERA
535,BOGOTA,BOGOTA,BOGOTA,CHAPINORTE
536,BOGOTA,BOGOTA,BOGOTA,ILARCO
537,BOGOTA,BOGOTA,BOGOTA,BULEVAR NIZA
538,BOGOTA,BOGOTA,BOGOTA,AV DE LOS COMUNEROS
539,BOGOTA,BOGOTA,BOGOTA,MUSEO DEL ORO
540,CUNDINAMARCA,CUNDINAMARCA,ZIPAQUIRA,MEGACITY
541,BOGOTA,BOGOTA,BOGOTA,SALITRE PLAZA 2
542,CUNDINAMARCA,CUNDINAMARCA,VILLETA,VILLETA
543,BOGOTA,BOGOTA,BOGOTA,BARRIO SANTA LUCIA
544,BOGOTA,BOGOTA,BOGOTA,CALLE 67
545,BOGOTA,BOGOTA,BOGOTA,AVENIDA PEPE SIERRA
546,BOGOTA,BOGOTA,BOGOTA,CENTRO SUBA
547,BOGOTA,BOGOTA,BOGOTA,BARRIO PANAMERICANO
548,BOGOTA,BOGOTA,BOGOTA,CALLE 80
549,CUNDINAMARCA,CUNDINAMARCA,FACATATIVA,CARRERA SEGUNDA
550,BOGOTA,BOGOTA,BOGOTA,PLAZA DE M/DO PALOQUEMAO
551,CUNDINAMARCA,CUNDINAMARCA,VIANI,VIANI
552,BOGOTA,BOGOTA,BOGOTA,TREBOLIS EL PORVENIR
553,BOGOTA,BOGOTA,BOGOTA,FEDERACION DE CAFETEROS
554,BOGOTA,BOGOTA,BOGOTA,AMERICAS OUTLET
555,BOGOTA,BOGOTA,BOGOTA,CENTRO EMPRESARIAL 128
556,BOGOTA,BOGOTA,BOGOTA,CENTRO COMERCIAL CALIMA
557,BOGOTA,BOGOTA,BOGOTA,EASY AMERICAS
558,BOGOTA,BOGOTA,BOGOTA,PUNTO 72
559,BOGOTA,BOGOTA,BOGOTA,CORFERIAS
560,BOGOTA,BOGOTA,BOGOTA,WORLD TRADE CENTER
561,BOGOTA,BOGOTA,BOGOTA,TERMINAL BOGOTA
562,BOGOTA,BOGOTA,BOGOTA,NAVARRA
563,CUNDINAMARCA,CUNDINAMARCA,SOACHA,MIRAFLORES BOGOTA
564,BOGOTA,BOGOTA,BOGOTA,ALKOSTO 170
565,BOGOTA,BOGOTA,BOGOTA,EXITO NORTE 
566,BOGOTA,BOGOTA,BOGOTA,TOLEDO 48
567,BOGOTA,BOGOTA,BOGOTA,CONNECTA 26
568,BOGOTA,BOGOTA,BOGOTA,LA CATOLICA
569,BOGOTA,BOGOTA,BOGOTA,CANTON NORTE
570,CENTRO SUR,CAQUETA,FLORENCIA,FLORENCIA
571,SANTANDERES Y ARAUCA,ARAUCA,ARAUCA,ARAUCA
572,SANTANDERES Y ARAUCA,ARAUCA,SARAVENA,SARAVENA
573,SANTANDERES Y ARAUCA,ARAUCA,TAME,TAME
999,ANTIOQUIA,ANTIOQUIA,CONCORDIA,CONCORDIA
2043,BOGOTA,BOGOTA,BOGOTA,AC NIELCEN
6948,ANTIOQUIA,OTRA,OTRA,OTRA
6949,BOGOTA,OTRA,OTRA,OTRA
6950,CUNDINAMARCA,OTRA,OTRA,OTRA
6951,CARIBE,OTRA,OTRA,OTRA
6952,CENTRO SUR,OTRA,OTRA,OTRA
6953,EJE CAFETERO,OTRA,OTRA,OTRA
6954,OTRA,OTRA,OTRA,OTRA
6955,SANTANDERES Y ARAUCA,OTRA,OTRA,OTRA
6956,VALLE Y CAUCA,OTRA,OTRA,OTRA
9127,BOGOTA,BOGOTA,BOGOTA,ALPINA LA ESTANCIA
9133,OTRA,OTRA,OTRA,CALL_REMARK
9134,OTRA,ANTIOQUIA,OTRA,CALL_BOLIVAR
9135,OTRA,ATLANTICO,OTRA,CALL_BOLIVAR
9136,OTRA,BOGOTA,OTRA,CALL_BOLIVAR
9137,OTRA,BOLIVAR,OTRA,CALL_BOLIVAR
9138,OTRA,BOYACA,OTRA,CALL_BOLIVAR
9139,OTRA,CALDAS,OTRA,CALL_BOLIVAR
9140,OTRA,CAUCA,OTRA,CALL_BOLIVAR
9141,OTRA,CESAR,OTRA,CALL_BOLIVAR
9142,OTRA,CORDOBA,OTRA,CALL_BOLIVAR
9143,OTRA,CUND/MARCA,OTRA,CALL_BOLIVAR
9144,OTRA,HUILA,OTRA,CALL_BOLIVAR
9145,OTRA,MAGDALENA,OTRA,CALL_BOLIVAR
9146,OTRA,META,OTRA,CALL_BOLIVAR
9147,OTRA,N SANT/DER,OTRA,CALL_BOLIVAR
